the_geom,cartodb_id,state_fips,state_name,county,housing_un,fips,county_fip,updated_at,created_at
0106000020E610000001000000010300000001000000080000002C7A4AB3D56252C099DF8819C2AE4440C92B9390B87E52C083875A5393A94440F6FAAA0B1D7D52C08DBDBF92CFB24440AF17740ECC7E52C0C58AD4F245B84440AE994C266C7B52C0B102C1D1D5BE4440B112E538AC6552C0E8AA1DB266C34440B0BDA6F1F16152C00C6F6853E9C244402C7A4AB3D56252C099DF8819C2AE4440,27,36,New York,Putnam,,36079,79,2012-06-15,2012-06-15
0106000020E6100000010000000103000000010000000E000000CB46D4E4608152C0AD0A1416D47E4640FFAF1AA3C47F52C09F1772B09E59464058693082B67D52C029E0266E8F594640D8C7BEA8487A52C08D3FF64C5B364640F245296CA68852C02442AA50423346409C98CF81E28552C026DA65119A11464047680204D39152C0E383877A2D0F4640C88E278D51A252C00D284EDB460C4640C86753D568A352C08863B37BF713464057AC961228A252C026A723DBC6164640AACA20F384A952C026580213F67846409D67FD0CC5AD52C0D55868C335794640094535631CAF52C08D40D1E0177F4640CB46D4E4608152C0AD0A1416D47E4640,1,36,New York,Franklin,,36033,33,2012-06-15,2012-06-15
0106000020E61000000100000001030000000100000007000000A720FDD8D89D53C05DD709EBA3904540F3ACDAE2BC9D53C03886217C9DAF45404A5ABA147D7F53C0CA58FF0CCBAE45405E1AA6CB697F53C01D01595ACC904540300F9EDAEF8753C098A37674CB904540C39F145BF48753C00777935460914540A720FDD8D89D53C05DD709EBA3904540,41,36,New York,Orleans,,36073,73,2012-06-15,2012-06-15
0106000020E6100000010000000103000000010000001400000024AFFB7D637952C01A7100D3CF7F4440AD73961F087952C04B9E6BEBF08744402B6060239C7952C0010B5CA14792444032F8B508537B52C0946BDE5AD89844404C18EFCFF07D52C0BF68DDF4F19E44405EFA84B02C7E52C0F46DBDB353A14440A57CCC0D1E7D52C0EBF1D19364A54440C92B9390B87E52C083875A5393A944402C7A4AB3D56252C099DF8819C2AE4440334B4C74376352C03AE12E5D95A54440A9FDE087995E52C0DB931704FA9A44403E182A4B6A6E52C00B721868D88C4440F553409CD66952C0132668719D814440FE90B83BCD6952C01920F952CB7F444024381C32EC7152C0CF0ED4047F71444096394BF7C47452C0C27F3D83457244406F938F789F7552C0A03DB5803F74444060C5A2802C7A52C09AC5213DB27644407CEC937E5A7952C06B2CAFD8FD7A444024AFFB7D637952C01A7100D3CF7F4440,28,36,New York,Westchester,,36119,119,2012-06-15,2012-06-15
0106000020E61000000100000001030000000100000013000000B640B7C9E37152C03435EDCFEA3A4540B3EC5A57089052C050374763DF33454027665774EC8F52C0A1D979949239454077EB206EB38E52C09EFCB66508404540C71E45E61B8F52C0B88CDFC1054645408FE06C0A6D8A52C0D49988DF76544540B7EC31A2088A52C03B0E6ABCB05A454068E24F60798B52C09B45B739305D4540072014839F7452C060FE0FAA3D6345402C08F261E77352C066D2C36A1063454082DD1FC0B37252C05383654ADD6445400DFAACDD247152C0C231AE8B73644540C4F4A45A386F52C07F20FD8A786745409B2546356F6B52C0434FEA2DCF61454093FFE417A76C52C0E8A33B5516594540786C0D42E77052C0BFE0081E784D4540F963E523CC7052C006911164BB4545404AB83D6A717252C02F33548B6B3D4540B640B7C9E37152C03435EDCFEA3A4540,2,36,New York,Albany,,36001,1,2012-06-15,2012-06-15
0106000020E6100000010000000103000000010000001F000000E9A33ECCB49752C039A09F1113CC444048DD7372049A52C09B1D54D18FC94440BDE8A87E779E52C0ACAB5291FDC044409213CE70C4AF52C0369EE181D6BF44406C74E7D398B052C05A0704879CB94440E3DC47144FB052C0459B6E090FB744400C8C1F38BDB252C0C7C17C8607B74440CDA94BDE4CB752C01804485E3CB94440677675414CB952C0E5B16CFCEAB84440B1029E0082B952C0F3ECAB591FBB44409C5D9F22AFBB52C033F4DA33FFBD444093DA41C631BE52C0841AC1B0E6BD4440E289E1E7F3C052C0A67CEB2A10C544406522FD079BC152C0E0740E2A6CC84440E07696AC78C452C0A793AD885FCD444043779A0CA3C452C0E39E6D6879CE4440205D7CE848C352C071FDE18793D1444058073C872FC452C0670F8CC57FDB4440723E4265A5C352C0205050C504DD4440D86C8DA4ECC352C0414B4CE497E244407F966DC937C652C0B3CC12A4B7E344409F82F26832C652C0351AC6E30AE6444050E8F2251CC552C00B70410336E8444099744EAA89C752C0C7E1586222EB44408CC4D6EAFBC752C0C76A0C02B2EC4440E054CB6D7DC952C0E69E71818AED44408D19901F7FB252C0BF62E809C10245401FEC0B4E2A9D52C0FE439EAB9AEF44401908C6E2E8A452C09885CA8462DF44409764498F4B9952C0888F09712AD24440E9A33ECCB49752C039A09F1113CC4440,3,36,New York,Sullivan,,36105,105,2012-06-15,2012-06-15
0106000020E61000000100000001030000000100000009000000364963A9287D52C0BF1C6C17A45E4440266F0421CC7852C06FDB03A1FA574440B21716BE487752C0CEE8F18017584440972C1BDC257652C030C1B3668853444077254C649B7A52C00D57E9E9C85044402D16DCDF4E7852C06D0416F08D4B44402F40232E428052C0C76425B2664A4440DD993431C68152C089332AC7D5514440364963A9287D52C0BF1C6C17A45E4440,4,36,New York,Kings,,36047,47,2012-06-15,2012-06-15
0106000020E61000000100000001030000000100000014000000F50C51AF7FB853C0077D669DDC82454063627AF83CBB53C00194713987884540C401C64DE9C353C0D8B9CEF1988B4540C939674E84C253C00C1644D0869245400A9C39B9FBC353C0A8D16AE854A24540F3ACDAE2BC9D53C03886217C9DAF4540A720FDD8D89D53C05DD709EBA390454072453017E29D53C06E21CF2C918B45406F4671781B9F53C00EDCC9ACE68A4540BB5DC47A63A053C09D917C8BFA8B4540E9972B5D9BA153C02D222E0B238B4540529FC99F9BA253C0CFA9C9A93B8C454094528C85A3A553C0521601A91B894540022DB10C6AA853C0E5214606988B4540B707E2926BAB53C0C13171C4278A45408A78AB5AD0AE53C03C27A281AB8A45402B27B11B75AF53C0AAC8A30184894540A5B1ADE7EDB453C03478007F42864540D567EC28FAB553C0699175FFEA824540F50C51AF7FB853C0077D669DDC824540,5,36,New York,Niagara,,36063,63,2012-06-15,2012-06-15
0106000020E61000000100000001030000000100000009000000321C8224190853C0F8F550813B344540E1864475481053C076F96601D7334540F1BD63B1E51053C0384AE90BCE4F4540BAC51B6EDE1053C0137FC5BFB95C4540CF977D8EC71153C0B5EB8EFB80634540549157B725F952C0EAC02393DC65454036FA8319D4F852C01B1BBE36245D4540EA5AC79E72F752C0838BC53DFA344540321C8224190853C0F8F550813B344540,6,36,New York,Cortland,,36023,23,2012-06-15,2012-06-15
0106000020E6100000010000000103000000010000000B00000083653B04DF7A52C01020D24EC2664440CCCC24A4137B52C07B111BAC48694440B7A8C381F27952C044D1C2A82F6C4440B3798420A27952C0F3674EA45D704440E323ED82087B52C06340C9C26971444060C5A2802C7A52C09AC5213DB27644406F938F789F7552C0A03DB5803F74444096394BF7C47452C0C27F3D834572444024381C32EC7152C0CF0ED4047F7144407948FA54F77252C030916EEC896A444083653B04DF7A52C01020D24EC2664440,7,36,New York,Bronx,,36005,5,2012-06-15,2012-06-15
0106000020E6100000010000000103000000010000001E000000CB46D4E4608152C0AD0A1416D47E464039C130F30F5652C0B7E1BE27C980464075173AD3725652C0BDC9424AB17D4640C31F59D1875552C0AB97B7905F77464077B8CFB6775852C0358BE616896C464041441B959E5752C0E990F8DAD8684640DB6A1E11EA5452C063D089404F6646405A6391D4E15752C09B2B6BC7B35C46402A2301F2EB5652C0B3601251165746403D21DFD2E05752C04D3D54B4A4544640A50ADD51B05752C0148C8D5932514640E23E86D26F5852C0073EEFDB554F4640FE336A50C35752C04004BD24224A4640DB261A8D425652C085694C8AE84646400EAC5CAB675552C0703B408CAC454640C3E216FA0F5E52C073346E6BA4444640AAA4D37A8F5E52C0E29EE80D12434640B2008119D45D52C0CC5EFC107D4146408E51937C426052C094CB3734013E464010FC94A08D6252C00739C631503E46407EEF38827D6452C093FCC5F1E13A46407A6016E82D6852C076B3A98EE9394640FE68CE0C4C6B52C0D9B884ECC437464004B8E00FEF6C52C04166864A3E38464076D7E492D16E52C0FED735496F3746405675DE54AD6F52C0A014F36741384640D8C7BEA8487A52C08D3FF64C5B36464058693082B67D52C029E0266E8F594640FFAF1AA3C47F52C09F1772B09E594640CB46D4E4608152C0AD0A1416D47E4640,8,36,New York,Clinton,,36019,19,2012-06-15,2012-06-15
0106000020E61000000100000001030000000100000029000000F2AAAEF9AE5C52C07A296D3B23E645409C20E064C88352C0D20DB6FDA5DE45400038124C958352C07FFB7C9886E545405EAC8D21C78852C01F6B01F950E8454020AD2286828952C07DB04F5801EA45407B0A2C6E068C52C0582CAB5979E945400502DAF19A8D52C0D3F8285BD6E745409E75FA173A9552C082809993F8F54540A0B97931679052C0C12F55573BFC454047680204D39152C0E383877A2D0F46409C98CF81E28552C026DA65119A114640F245296CA68852C02442AA5042334640D8C7BEA8487A52C08D3FF64C5B3646405675DE54AD6F52C0A014F3674138464076D7E492D16E52C0FED735496F37464004B8E00FEF6C52C04166864A3E384640FE68CE0C4C6B52C0D9B884ECC43746407A6016E82D6852C076B3A98EE93946407EEF38827D6452C093FCC5F1E13A464010FC94A08D6252C00739C631503E46408E51937C426052C094CB3734013E4640B2008119D45D52C0CC5EFC107D414640AAA4D37A8F5E52C0E29EE80D12434640C3E216FA0F5E52C073346E6BA44446400EAC5CAB675552C0703B408CAC4546402FE03CC0C55252C0C8C5E0BE6737464075FFF61E335352C047C5A182E83346409F96843F1B5552C0402689A6062F464064949E748A5352C085BE7B574C214640F4C2D637265852C07F125A7AC219464072EAACB5735852C00F4F5B9F071646405A2B01751A5A52C086685BE36F1146404CA56112295A52C0AA09A368A50D464072AF2691DA5B52C0D9327FCD2D084640BB41946FE75B52C0C29BCDD0D80546402E0E25CA205A52C06586701855024640E54733C8B65A52C0B115EC3C7DFE454020234E00F15952C07119266A18F545400FD78DFA015852C004DA7FB167F1454012721B949F5852C05374FC1DFAE64540F2AAAEF9AE5C52C07A296D3B23E64540,9,36,New York,Essex,,36031,31,2012-06-15,2012-06-15
0106000020E61000000100000001030000000100000017000000E2670813368A52C040DAC7A236AF4540ED05E3AD258952C051568E1813A04540B1F3F1D7418E52C01FD836F6B59F45406E81E9D62B8E52C0FA3BE698379C4540DC001003869452C0715D55B5069B454055BE0265DA9452C020D6FD12499E4540E52E899F34A252C0ADF86F6B179D4540308253BEBFAD52C0644D00636FA44540855B62D4BCB752C01661E27F6BAB4540C79AA4DDD5B152C0660E869A42BD4540D79B9A48ABB652C04B795708F9084640C88E278D51A252C00D284EDB460C464047680204D39152C0E383877A2D0F4640A0B97931679052C0C12F55573BFC45409E75FA173A9552C082809993F8F545400502DAF19A8D52C0D3F8285BD6E745407B0A2C6E068C52C0582CAB5979E9454020AD2286828952C07DB04F5801EA45405EAC8D21C78852C01F6B01F950E845400038124C958352C07FFB7C9886E545409C20E064C88352C0D20DB6FDA5DE4540BC5A00E5BF8D52C0EF36F1DE69DC4540E2670813368A52C040DAC7A236AF4540,10,36,New York,Hamilton,,36041,41,2012-06-15,2012-06-15
0106000020E61000000100000001030000000100000026000000D79B9A48ABB652C04B795708F9084640C79AA4DDD5B152C0660E869A42BD4540855B62D4BCB752C01661E27F6BAB4540308253BEBFAD52C0644D00636FA4454014B7D01270AC52C0F1081B0AFD974540AE12E554F4AD52C0E368C92AE095454035F237342FAE52C0AC5D0C0CB8934540CBDA1F962FAF52C0725EE70B2093454016B84FD569AF52C0B4E0618D9E904540D90BB41749B152C0D1F6108ECD8D454035D1BE5696B152C0917052505D8A4540B7938513EDB052C079554BF2EF8645401C7681F0D5AF52C03127CB53AB8545401D6116ADADAF52C0021D3958DC7E45408545106EDFB052C071E53224E66E45400A820F8295B852C0B2CC159D39734540F67E2DE302B952C050989183F46A4540006DBBC648BA52C0688F08C4E36945403D2906E153C652C0CDC42995877445409A4C6566AEC852C0AB4153788D6E45406EC1E68F99CD52C0AFBCCA951D6E4540C05C8CAFA0CD52C0149C7CD350714540F0287451B5CD52C093A45FE921884540D2D402C55CC452C06A02AF637D9D4540DD842CAF51C852C05276BC843A9F4540E4047390A6C852C00979D82463A0454091BCC13319CA52C04C07B0C54DA04540D54DC43459CA52C00803BF454AA1454083A523F48BC952C0515055A47CA64540C32D9FCF80C752C0D2F427C3BEA74540A31D354D7EC652C019D3A6A269A7454031E33ACCEFC552C03F4B75C24BA84540F9BE4F0D3BC652C0DDA16322CEA94540B4A3CEAA24C552C0D82B39A2E1A94540368E57915FC752C0B81E4D1E41CE4540C835A7D37CCA52C0CAE56B1CE10B4640BD944B634BC452C03B35EA1AAD064640D79B9A48ABB652C04B795708F9084640,11,36,New York,Herkimer,,36043,43,2012-06-15,2012-06-15
0106000020E61000000100000001030000000100000029000000767AC12B015052C049527B10CAA745407D9C1C12AA5152C0A648D58E5B78454009EE473B655852C0A71BADEC13784540A1EDBF7F785B52C0C6DEA26B427A45409BD093E2B85D52C0134C5B8B5B78454006557511BD6852C0BC528B2442784540C781E8F0496852C015CA5CA3BF7B45403E6F634F146752C077E38B832F7E45408BDD56CB1B6552C0B3E78098998D4540C85699AC4A6652C06FACAA500F954540721B9F0A786552C02B41C5CB489B454046E9C6CB576652C039ADBF47F59E45403D0FBD4ADA6552C0E61F5E8584A145400EA21B6CBB6652C0751F70C28FA345402AE3894B916652C003E0D3DED3A6454084517BB03A6952C0D202C55D45C24540A1E9A0AFEE6752C0560A7FFBE4C34540FC55FFB0516752C0BD2D3D9856C6454024C95373A36752C0174D08B6DAC74540CAEEFCD0386652C0ADE290D45EC8454050FB96911B6252C0D2AC78819BD14540FE54CFAE965F52C08F209ED953D445400CE2ABB2925F52C05FC3E3D094D845400DC63FB8295E52C0238FF22032E145403623EEDA645E52C020677F7C49E44540F2AAAEF9AE5C52C07A296D3B23E6454012721B949F5852C05374FC1DFAE6454057DA4DCFF95652C079ABE483A3E3454041CC0BADD35652C0476F7DE7D6E0454011C7524ABE5752C0638A6C906DDB454068621FC6115B52C04B28D022E9D0454025489EC0C55A52C0494F2DAF8ECA454078FAFADCD65852C02D5529B3D9C84540AAECBF9F465752C0DA773E48B8CE4540D41D191C6D5352C0B0CD8CA7F6CF45405236C19AD25252C059F804C950CF4540759A92F7075252C0239F828FEDCB4540E192A256A65252C0952F53B39AC94540D8D91F93A35052C065762DD799C74540F923DCCD414F52C00CFEA281A4C14540767AC12B015052C049527B10CAA74540,12,36,New York,Washington,,36115,115,2012-06-15,2012-06-15
0106000020E610000001000000010300000001000000210000002AE3894B916652C003E0D3DED3A64540C1F560B04C6952C02FB403FD02A74540502DA192596A52C0E066A57DADA54540C299A893C26A52C0C89D05E188A245406A89B195F76B52C0877FE31FD5A24540CFC80937BA6C52C0A51C0ABDDFA44540E75A1A1BDD6E52C03CACD71C9AA34540B33CD1BCCA6F52C032FF7CDD7FA24540BFFCA9FC976F52C023D0401FDEA0454054EB221E677052C061080DE17B9E4540A8B9FAFF687152C00CC2BB81529D45408EBE4AC3227352C031C8033F4CA045403A16BE67827552C063DA0B3EB6A04540F07ECD65A87452C0C1A5443811A6454078285329967652C0DE3ADCD2AEA9454056BF4A498B7652C00C34A590B8AB4540488AB86BE97752C0F72DAE4C49AE454026DDEFCC977852C0DE90594601B34540E2670813368A52C040DAC7A236AF4540BC5A00E5BF8D52C0EF36F1DE69DC45409C20E064C88352C0D20DB6FDA5DE4540F2AAAEF9AE5C52C07A296D3B23E645403623EEDA645E52C020677F7C49E445400DC63FB8295E52C0238FF22032E145400CE2ABB2925F52C05FC3E3D094D84540FE54CFAE965F52C08F209ED953D4454050FB96911B6252C0D2AC78819BD14540CAEEFCD0386652C0ADE290D45EC8454024C95373A36752C0174D08B6DAC74540FC55FFB0516752C0BD2D3D9856C64540A1E9A0AFEE6752C0560A7FFBE4C3454084517BB03A6952C0D202C55D45C245402AE3894B916652C003E0D3DED3A64540,13,36,New York,Warren,,36113,113,2012-06-15,2012-06-15
0106000020E6100000010000000103000000010000000B000000C92B9390B87E52C083875A5393A94440A57CCC0D1E7D52C0EBF1D19364A544405EFA84B02C7E52C0F46DBDB353A144404C18EFCFF07D52C0BF68DDF4F19E444032F8B508537B52C0946BDE5AD89844402B6060239C7952C0010B5CA147924440AD73961F087952C04B9E6BEBF087444024AFFB7D637952C01A7100D3CF7F44403763F96CA28D52C06D1D8181D28F444030F96FD1828F52C0C82985BF9D914440C92B9390B87E52C083875A5393A94440,29,36,New York,Rockland,,36087,87,2012-06-15,2012-06-15
0106000020E6100000010000000103000000010000002F000000072014839F7452C060FE0FAA3D634540FA44A5CA4A7952C0F563FE81276C45400C9850CC017A52C0B90AA2DD7C734540A933DE913E7D52C0735D57DC837245408A7D6A749C7E52C0FD2B703A017545406E50C19CA88352C08DFEE0158B7945403B52FF3FF18552C00BB64D54997945408C9704A2588652C0E7355892057E4540ED05E3AD258952C051568E1813A04540E2670813368A52C040DAC7A236AF454026DDEFCC977852C0DE90594601B34540488AB86BE97752C0F72DAE4C49AE454056BF4A498B7652C00C34A590B8AB454078285329967652C0DE3ADCD2AEA94540F07ECD65A87452C0C1A5443811A645403A16BE67827552C063DA0B3EB6A045408EBE4AC3227352C031C8033F4CA04540A8B9FAFF687152C00CC2BB81529D454054EB221E677052C061080DE17B9E4540BFFCA9FC976F52C023D0401FDEA04540B33CD1BCCA6F52C032FF7CDD7FA24540E75A1A1BDD6E52C03CACD71C9AA34540CFC80937BA6C52C0A51C0ABDDFA445406A89B195F76B52C0877FE31FD5A24540C299A893C26A52C0C89D05E188A24540502DA192596A52C0E066A57DADA54540C1F560B04C6952C02FB403FD02A745402AE3894B916652C003E0D3DED3A645400EA21B6CBB6652C0751F70C28FA345403D0FBD4ADA6552C0E61F5E8584A1454046E9C6CB576652C039ADBF47F59E4540721B9F0A786552C02B41C5CB489B4540C85699AC4A6652C06FACAA500F9545408BDD56CB1B6552C0B3E78098998D45403E6F634F146752C077E38B832F7E4540C781E8F0496852C015CA5CA3BF7B454006557511BD6852C0BC528B24427845400AD927B4A06A52C0E9AA8C24B5754540D4EC5395796B52C062DB5F25EB724540BD2DE614366B52C0F86DF6E8DF6B45404490D4936B6A52C01B20DA4A436845409B2546356F6B52C0434FEA2DCF614540C4F4A45A386F52C07F20FD8A786745400DFAACDD247152C0C231AE8B7364454082DD1FC0B37252C05383654ADD6445402C08F261E77352C066D2C36A10634540072014839F7452C060FE0FAA3D634540,14,36,New York,Saratoga,,36091,91,2012-06-15,2012-06-15
0106000020E61000000100000001030000000100000013000000ED05E3AD258952C051568E1813A045408C9704A2588652C0E7355892057E45402985E8D071A252C09DB1CDA0C47D45401C7681F0D5AF52C03127CB53AB854540B7938513EDB052C079554BF2EF86454035D1BE5696B152C0917052505D8A4540D90BB41749B152C0D1F6108ECD8D454016B84FD569AF52C0B4E0618D9E904540CBDA1F962FAF52C0725EE70B2093454035F237342FAE52C0AC5D0C0CB8934540AE12E554F4AD52C0E368C92AE095454014B7D01270AC52C0F1081B0AFD974540308253BEBFAD52C0644D00636FA44540E52E899F34A252C0ADF86F6B179D454055BE0265DA9452C020D6FD12499E4540DC001003869452C0715D55B5069B45406E81E9D62B8E52C0FA3BE698379C4540B1F3F1D7418E52C01FD836F6B59F4540ED05E3AD258952C051568E1813A04540,15,36,New York,Fulton,,36035,35,2012-06-15,2012-06-15
0106000020E6100000010000000103000000010000000F0000008545106EDFB052C071E53224E66E45401D6116ADADAF52C0021D3958DC7E45401C7681F0D5AF52C03127CB53AB8545402985E8D071A252C09DB1CDA0C47D45408C9704A2588652C0E7355892057E45403B52FF3FF18552C00BB64D54997945407EAC719D898552C0434DD636CA724540F1CD16053F9052C009651F12E1674540E600BC04909052C0FFD691120466454062C152271E9252C0B95CD3B234644540A075A813A29752C03E8A02B21E64454012A3865EBE9C52C019E0F9517562454031E2C891B8A452C0B6C9E98C81684540FAEBD6DC87A952C017A9D6C9D86A45408545106EDFB052C071E53224E66E4540,16,36,New York,Montgomery,,36057,57,2012-06-15,2012-06-15
0106000020E61000000100000001030000000100000015000000616764E7735652C041BA2FD69B404540B640B7C9E37152C03435EDCFEA3A45404AB83D6A717252C02F33548B6B3D4540F963E523CC7052C006911164BB454540786C0D42E77052C0BFE0081E784D454093FFE417A76C52C0E8A33B55165945409B2546356F6B52C0434FEA2DCF6145404490D4936B6A52C01B20DA4A43684540BD2DE614366B52C0F86DF6E8DF6B4540D4EC5395796B52C062DB5F25EB7245400AD927B4A06A52C0E9AA8C24B575454006557511BD6852C0BC528B24427845409BD093E2B85D52C0134C5B8B5B784540A1EDBF7F785B52C0C6DEA26B427A454009EE473B655852C0A71BADEC137845407D9C1C12AA5152C0A648D58E5B784540981BE7B0E45152C04764AF33266B45402C3F0072F45252C03561D0B4DA664540A13E96CE3B5152C0F9328678AD5F45405F68460D845052C05B21AAD97E5F4540616764E7735652C041BA2FD69B404540,17,36,New York,Rensselaer,,36083,83,2012-06-15,2012-06-15
