,state_name,total_pop,confirmed_cases,deaths,never,rarely,sometimes,frequently,always,deaths_per_case,infection_rate,death_per_population
0,Alabama,4887871.0,26232,409,0.08,0.08,0.15,0.22,0.48,0.0156,0.0054,8.37e-05
1,Alaska,737438.0,10632,55,0.05,0.07,0.09,0.32,0.47,0.0052,0.0144,7.46e-05
2,Arizona,7171646.0,169309,3734,0.05,0.05,0.09,0.15,0.66,0.0221,0.0236,0.0005207
3,Arkansas,3013825.0,13475,230,0.09,0.09,0.14,0.22,0.46,0.0171,0.0045,7.63e-05
4,California,39557045.0,325951,7200,0.03,0.03,0.06,0.16,0.72,0.0221,0.0082,0.000182
5,Colorado,5695564.0,24541,481,0.04,0.07,0.1,0.24,0.55,0.0196,0.0043,8.45e-05
6,Connecticut,3572665.0,28178,1522,0.02,0.02,0.05,0.13,0.78,0.054,0.0079,0.000426
7,Delaware,967171.0,14545,359,0.02,0.01,0.06,0.1,0.82,0.0247,0.015,0.0003712
8,District of Columbia,702455.0,18173,657,0.01,0.01,0.07,0.16,0.74,0.0362,0.0259,0.0009353
9,Florida,21299325.0,195272,3690,0.05,0.06,0.11,0.19,0.59,0.0189,0.0092,0.0001732
10,Georgia,10519475.0,35605,669,0.08,0.08,0.13,0.2,0.51,0.0188,0.0034,6.36e-05
11,Hawaii,1420491.0,14010,173,0.01,0.02,0.03,0.13,0.81,0.0123,0.0099,0.0001218
12,Idaho,1754208.0,20021,199,0.11,0.15,0.14,0.22,0.39,0.0099,0.0114,0.0001134
13,Illinois,12741080.0,227425,5828,0.07,0.07,0.13,0.22,0.51,0.0256,0.0178,0.0004574
14,Indiana,6691878.0,31495,861,0.09,0.1,0.13,0.24,0.45,0.0273,0.0047,0.0001287
15,Iowa,3156145.0,24717,300,0.1,0.12,0.17,0.22,0.4,0.0121,0.0078,9.51e-05
16,Kansas,2911510.0,18783,236,0.11,0.11,0.15,0.22,0.4,0.0126,0.0065,8.11e-05
17,Kentucky,4468402.0,28336,430,0.09,0.08,0.13,0.21,0.49,0.0152,0.0063,9.62e-05
18,Louisiana,4659978.0,19302,602,0.08,0.07,0.11,0.21,0.52,0.0312,0.0041,0.0001292
19,Maine,1338404.0,3039,70,0.05,0.06,0.1,0.2,0.59,0.023,0.0023,5.23e-05
20,Maryland,6042718.0,35172,896,0.02,0.02,0.05,0.16,0.74,0.0255,0.0058,0.0001483
21,Massachusetts,6902149.0,35516,2325,0.02,0.01,0.04,0.13,0.8,0.0655,0.0051,0.0003369
22,Michigan,9995915.0,47389,3105,0.05,0.06,0.1,0.22,0.58,0.0655,0.0047,0.0003106
23,Minnesota,5611179.0,44547,1025,0.1,0.12,0.16,0.24,0.38,0.023,0.0079,0.0001827
24,Mississippi,2986530.0,8596,182,0.07,0.08,0.12,0.2,0.53,0.0212,0.0029,6.09e-05
25,Missouri,6126452.0,37016,900,0.13,0.13,0.15,0.21,0.38,0.0243,0.006,0.0001469
26,Montana,1062305.0,8191,97,0.15,0.17,0.14,0.21,0.33,0.0118,0.0077,9.13e-05
27,Nebraska,1929268.0,28084,255,0.12,0.12,0.15,0.26,0.36,0.0091,0.0146,0.0001322
28,Nevada,3034392.0,90125,1576,0.03,0.04,0.11,0.2,0.62,0.0175,0.0297,0.0005194
29,New Hampshire,1356458.0,6137,325,0.06,0.06,0.07,0.19,0.63,0.053,0.0045,0.0002396
30,New Jersey,8908520.0,28321,2159,0.02,0.02,0.05,0.16,0.75,0.0762,0.0032,0.0002424
31,New Mexico,2095428.0,14528,265,0.04,0.05,0.08,0.16,0.67,0.0182,0.0069,0.0001265
32,New York,19542209.0,52173,2706,0.02,0.02,0.05,0.13,0.77,0.0519,0.0027,0.0001385
33,North Carolina,10383620.0,36863,411,0.05,0.05,0.1,0.2,0.6,0.0111,0.0036,3.96e-05
34,North Dakota,760077.0,11956,101,0.18,0.16,0.14,0.25,0.26,0.0084,0.0157,0.0001329
35,Ohio,11689442.0,39230,712,0.09,0.1,0.15,0.22,0.44,0.0181,0.0034,6.09e-05
36,Oklahoma,3943079.0,28213,250,0.1,0.12,0.17,0.23,0.39,0.0089,0.0072,6.34e-05
37,Oregon,4190713.0,11497,188,0.04,0.05,0.09,0.18,0.64,0.0164,0.0027,4.49e-05
38,Pennsylvania,12807060.0,50354,1912,0.04,0.04,0.09,0.17,0.67,0.038,0.0039,0.0001493
39,Rhode Island,1057315.0,25309,970,0.01,0.01,0.04,0.14,0.8,0.0383,0.0239,0.0009174
40,South Carolina,5084127.0,19550,372,0.1,0.07,0.11,0.19,0.53,0.019,0.0038,7.32e-05
41,South Dakota,882235.0,15059,125,0.15,0.11,0.17,0.22,0.36,0.0083,0.0171,0.0001417
42,Tennessee,6770010.0,40733,593,0.11,0.1,0.15,0.21,0.43,0.0146,0.006,8.76e-05
43,Texas,28701845.0,168746,2871,0.05,0.06,0.1,0.19,0.61,0.017,0.0059,0.0001
44,Utah,3161105.0,58495,334,0.09,0.09,0.12,0.27,0.43,0.0057,0.0185,0.0001057
45,Vermont,626299.0,1114,39,0.05,0.09,0.07,0.14,0.66,0.035,0.0018,6.23e-05
46,Virginia,8517685.0,25593,607,0.04,0.05,0.09,0.18,0.64,0.0237,0.003,7.13e-05
47,Washington,7535591.0,31595,848,0.04,0.04,0.07,0.18,0.67,0.0268,0.0042,0.0001125
48,West Virginia,1805832.0,4245,120,0.09,0.08,0.14,0.22,0.48,0.0283,0.0024,6.65e-05
49,Wisconsin,5813568.0,54391,636,0.09,0.1,0.15,0.23,0.43,0.0117,0.0094,0.0001094
50,Wyoming,577737.0,2744,21,0.15,0.16,0.12,0.23,0.34,0.0077,0.0047,3.63e-05
